year_month,product,price,category
202205,菜花,3.57,蔬菜
202205,生姜,4.99,蔬菜
202205,香菇,11.57,蔬菜
202205,蒜苔,6.79,蔬菜
202205,平菇,7.49,蔬菜
202205,大葱,4.19,蔬菜
202205,韭菜,3.57,蔬菜
202205,西葫芦,2.95,蔬菜
202205,洋白菜,1.93,蔬菜
202205,油菜,2.76,蔬菜
202205,菠菜,4.24,蔬菜
202205,冬瓜,3.18,蔬菜
202205,大蒜,6.25,蔬菜
202205,生菜,3.59,蔬菜
202205,莲藕,7.57,蔬菜
202205,南瓜,4.08,蔬菜
202205,葱头,2.83,蔬菜
202205,大白菜,1.92,蔬菜
202205,土豆,2.71,蔬菜
202006,莲藕,8.77,蔬菜
202006,韭菜,3.43,蔬菜
202006,大蒜,5.29,蔬菜
202006,菠菜,5.76,蔬菜
202006,胡萝卜,2.67,蔬菜
202006,洋白菜,1.88,蔬菜
202006,茄子,3.29,蔬菜
202006,芹菜,4.35,蔬菜
202006,平菇,7.09,蔬菜
202006,香菇,10.97,蔬菜
202006,豆角,5.32,蔬菜
202006,西红柿,3.43,蔬菜
202006,生姜,9.84,蔬菜
202006,西葫芦,2.95,蔬菜
202006,白萝卜,1.82,蔬菜
202006,油菜,3.29,蔬菜
202006,蒜苔,5.53,蔬菜
202006,生菜,4.35,蔬菜
202006,南瓜,2.32,蔬菜
202006,大白菜,2.04,蔬菜
202006,土豆,2.51,蔬菜
202006,大葱,2.84,蔬菜
202006,冬瓜,1.75,蔬菜
202006,莴笋,3.37,蔬菜
202006,菜花,4.90,蔬菜
202006,葱头,1.49,蔬菜
202006,黄瓜,3.04,蔬菜
202006,青椒,3.70,蔬菜
202007,莲藕,8.55,蔬菜
202007,韭菜,3.37,蔬菜
202007,大蒜,5.47,蔬菜
202007,菠菜,6.01,蔬菜
202007,胡萝卜,2.88,蔬菜
202007,洋白菜,1.99,蔬菜
202007,茄子,3.20,蔬菜
202007,芹菜,4.53,蔬菜
202007,平菇,7.34,蔬菜
202007,香菇,11.13,蔬菜
202007,豆角,4.91,蔬菜
202007,西红柿,3.63,蔬菜
202007,生姜,10.90,蔬菜
202007,西葫芦,2.87,蔬菜
202007,白萝卜,2.03,蔬菜
202007,油菜,3.15,蔬菜
202007,蒜苔,5.70,蔬菜
202007,生菜,4.65,蔬菜
202007,南瓜,2.30,蔬菜
202007,大白菜,2.04,蔬菜
202007,土豆,2.40,蔬菜
202007,大葱,3.06,蔬菜
202007,冬瓜,1.72,蔬菜
202007,莴笋,3.31,蔬菜
202007,菜花,4.22,蔬菜
202007,葱头,1.53,蔬菜
202007,黄瓜,3.02,蔬菜
202007,青椒,3.76,蔬菜
202008,莲藕,7.95,蔬菜
202008,韭菜,4.04,蔬菜
202008,大蒜,5.98,蔬菜
202008,菠菜,7.59,蔬菜
202008,胡萝卜,3.12,蔬菜
202008,洋白菜,2.27,蔬菜
202008,茄子,3.22,蔬菜
202008,芹菜,4.22,蔬菜
202008,平菇,8.38,蔬菜
202008,香菇,11.55,蔬菜
202008,豆角,5.31,蔬菜
202008,西红柿,3.49,蔬菜
202008,生姜,12.67,蔬菜
202008,西葫芦,3.33,蔬菜
202008,白萝卜,2.41,蔬菜
202008,油菜,3.81,蔬菜
202008,蒜苔,6.08,蔬菜
202008,生菜,5.19,蔬菜
202008,南瓜,2.18,蔬菜
202008,大白菜,2.15,蔬菜
202008,土豆,2.31,蔬菜
202008,大葱,3.17,蔬菜
202008,冬瓜,1.52,蔬菜
202008,莴笋,3.54,蔬菜
202008,菜花,4.36,蔬菜
202008,葱头,1.64,蔬菜
202008,黄瓜,4.15,蔬菜
202008,青椒,3.69,蔬菜
